Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120542-147315,WR,Jayden,Jayden Higgins,Higgins,3.75,2,5100,HOU@JAC,HOU,JAC,,,,,,WR/FLEX
120542-110484,RB,RJ,RJ Harvey,Harvey,5.150000095367432,2,5100,DEN@LAC,DEN,LAC,,,,,,RB/FLEX
120542-48116,TE,Jonnu,Jonnu Smith,Smith,7.349999904632568,2,5100,PIT@NE,PIT,NE,,,,,,TE/FLEX
120542-71705,TE,Noah,Noah Fant,Fant,7.449999809265137,2,5000,CIN@MIN,CIN,MIN,,,,,,TE/FLEX
120542-103587,TE,Brenton,Brenton Strange,Strange,5.550000190734863,2,5000,HOU@JAC,JAC,HOU,,,,,,TE/FLEX
120542-86244,TE,Pat,Pat Freiermuth,Freiermuth,4.449999809265137,2,5000,PIT@NE,PIT,NE,,,,,,TE/FLEX
120542-12533,D,Green Bay,Green Bay Packers,Packers,7.5,2,5000,GB@CLE,GB,CLE,,,,,,DEF
120542-56648,RB,Jeremy,Jeremy McNichols,McNichols,2.5,1,5000,LV@WAS,WAS,LV,,,,,,RB/FLEX
120542-93538,WR,Dyami,Dyami Brown,Brown,11.199999809265137,2,5000,HOU@JAC,JAC,HOU,,,,,,WR/FLEX
120542-60858,WR,Christian,Christian Kirk,Kirk,7.175000190734863,8,5000,HOU@JAC,HOU,JAC,Q,Hamstring,,,,WR/FLEX
120542-89612,WR,Michael,Michael Wilson,Wilson,4.300000190734863,2,5000,ARI@SF,ARI,SF,,,,,,WR/FLEX
120542-158412,RB,Braelon,Braelon Allen,Allen,4,2,5000,NYJ@TB,NYJ,TB,,,,,,RB/FLEX
120542-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,4.449999809265137,2,5000,PIT@NE,PIT,NE,,,,,,RB/FLEX
120542-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,4.650000095367432,2,5000,DAL@CHI,CHI,DAL,,,,,,WR/FLEX
120542-86055,RB,Dameon,Dameon Pierce,Pierce,0.5,1,4900,HOU@JAC,HOU,JAC,,,,,,RB/FLEX
